name,latitude,longitude,color,family,country
!Xoon [nmn],-24,21.5,#998D5C,Tuu,Botswana
/Xam [xam],-30.34,21.82,#9D8662,Tuu,South Africa
||Ani [hnh],-19.3,22.5,#66877D,Khoe,Botswana
||Gana [gnk],-19,22.5,#677F6B,Khoe,Botswana
Aari [aiw],6,36.6,#348D6C,Afro-Asiatic,Ethiopia
Abipon [axb],-26,-61,#9C4968,Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#534768,North-west Caucasus,Georgia
Abma [app],-15.75,168.083,#A86C80,Austronesian,Vanuatu
Abui [abz],-8.417,124.6,#B05CAA,Timor-Alor-Pantar,Indonesia
Abun [kgr],-0.833,132,#CBB684,West Papuan,Indonesia
Acehnese [ace],5.333,96.167,#DFA071,Austronesian,Indonesia
Achumawi [acv],41.5,-121,#6E529A,Palaihnihan,USA
Adyghe [ady],44.1,39.08,#2D5384,North-west Caucasus,Russia
Adynyamathanha [adt],-31,139.5,#4B83B5,Pama-Nyungan,Australia
Adzera [azr],-6.417,146.25,#B88498,Austronesian,Papua New Guinea
Agarabi [agd],-6.25,145.917,#2445BC,Trans New Guinea,Papua New Guinea
Aghem [agq],6.39,10.12,#C28F57,Niger-Kongo,Cameroon
Agta [agt],17.967,121.833,#C18C6D,Austronesian,Philippines
Aguaruna [agr],-5.25,-78,#4A4692,Jivaroan,Peru
Agutaynen [agn],11.15,120.95,#B1628E,Austronesian,Philippines
Ai-cham_Diwo [aih],25.8,107,#E5EE7B,Tai-Kadai,China
Ainu [ain],43.5,142,#8C5390,Ainu,Japan
Aka [hru],27.2,92.9,#4D9188,Tibeto-Burman,India
Akan [aka],6.5,-1.25,#AA658B,Niger-Kongo,Ghana
Akha [ahk],20.3,99.6,#91C7A5,Tibeto-Burman,Thailand
Akkadian [akk],33.1,44,#615144,Afro-Asiatic,Iraq
Alabama [akz],32.7,-86.1,#5F29AB,Muskogean,USA
Alamblak [amp],-4.667,143.25,#635579,Sepik,Papua New Guinea
Albanian Tosk [als],40.5,20,#757B14,Indo-European,Albania
Aleut [ale],54,-166,#2F588E,Eskimo-Aleut,USA
Alune [alp],-3.167,128.333,#C64CA2,Austronesian,Indonesia
Alyawarr [aly],-24.6,134.5,#5C98BC,Pama-Nyungan,Australia
Amarasi [aaz],-10.08,124.33,#CC637E,Austronesian,Indonesia
Ambae_West [omb],-15.5,167.75,#C0628F,Austronesian,Vanuatu
Ambai [amk],-1.917,136.733,#CA6983,Austronesian,Indonesia
Ambonese Malay [abs],-3.7,128.2,#D2BF81,Austronesian,Indonesia
Amdo [adx],36,94,#47C6B7,Tibeto-Burman,China
Amele [aey],-5.25,145.75,#8D638F,Trans New Guinea,Papua New Guinea
Amharic [amh],10,38,#495930,Afro-Asiatic,Ethiopia
Amis [ami],23.333,121.333,#B17B79,Austronesian,Taiwan
Amoy [nan],24.5,118,#A5D767,Tibeto-Burman,China
Anejom [aty],-20.25,169.833,#D06B96,Austronesian,Vanuatu
Anem [anz],-5.667,149,#BE828F,Anem,Papua New Guinea
Angas [anc],9.75,8.75,#D19C6E,Afro-Asiatic,Nigeria
Anguthimri [xxx-3],-12.333,141.833,#4CA8A4,Pama-Nyungan,Australia
Anindilyagwa [aoi],-14,136.5,#7A4C99,Anindilyagwa,Australia
Anong [nun],27.2,98.8,#6AC682,Tibeto-Burman,China
Ao [njo],27,95,#5EC0C1,Tibeto-Burman,India
Apalai [apy],0,-54,#7829AD,Cariban,Brazil
Apatani [apt],27.4,93.8,#49BC8D,Tibeto-Burman,India
Apurinã [apu],-9,-67,#904471,Arawak,Brazil
Arabana [ard],-28,137,#38A9AB,Pama-Nyungan,Australia
Arabic [arb],30,42,#8E3B2B,Afro-Asiatic,Saudi Arabia
Arabic_Abha [acw-4],18.22,42.51,#983729,Afro-Asiatic,Saudi Arabia
Arabic_Afghanistan [acm-3],36.7,67.12,#625A3F,Afro-Asiatic,Afghanistan
Arabic_Basra [acm],30.5,47.825,#81633F,Afro-Asiatic,Iraq
Arabic_Bukhara [abh],39.77,64.43,#4F6838,Afro-Asiatic,Uzbekistan
Arabic_Egyptian [arz],30,30,#B23F32,Afro-Asiatic,Egypt
Arabic_Gulf [afb],24,54,#9F5430,Afro-Asiatic,United Arab Emirates
Arabic_Harb [acw-5],25.81,42.87,#9C4F1B,Afro-Asiatic,Saudi Arabia
Arabic_Khuzestan [acm-2],31.33,48.69,#9E4424,Afro-Asiatic,Iran
Arabic_Moroccan [ary],34,-7,#A23A24,Afro-Asiatic,Morocco
Arabic_Sudanese [apd],15.5,32.56,#A24637,Afro-Asiatic,Sudan
Arabic_Syrian [apc],33,37,#A04821,Afro-Asiatic,Syria
Arabic_Tunisian [aeb],36,10,#843E29,Afro-Asiatic,Tunisia
Arandai [jbj],-2.17,133,#53519F,Trans New Guinea,Indonesia
Araona  [aro],-12.333,-67.75,#5850A5,Tacanan,Bolivia
Archi [aqc],42.07,46.86,#26626E,Nakh-Daghestanian,Russia
Arguni [agf],-2.667,132.5,#C090A6,Austronesian,Indonesia
Arizona Tewa [tew],35.8,-110.4,#6452A5,Kiowa-Tanoan,USA
Armenian [hye],40,45,#417A2E,Indo-European,Armenia
Arop-Lokep [apr],-5.333,147.083,#BA749F,Austronesian,Papua New Guinea
Arrernte_Central [are],-22.85,133.7,#5394C3,Pama-Nyungan,Australia
Arrernte_Mparntwe [aer],-24,136,#639AB3,Pama-Nyungan,Australia
Asheninka_Apurucayali [cpc],-10.018,-74.793,#783E8C,Arawak,Peru
Asmat [asc],-5.167,138.5,#6F4D9F,Trans New Guinea,Indonesia
Assamese [asm],26.5,93,#289E4E,Indo-European,India
Ata [ata],-5.667,151,#BC3691,Ata,Papua New Guinea
Atayal [tay],24.5,121,#BD8480,Austronesian,Taiwan
Athpare [aph],26.75,87.33,#3A5887,Tibeto-Burman,Nepal
Atong [aot],25.5,90.5,#4BAA92,Tibeto-Burman,India
Atsugewi [atw],40.75,-121,#645F8A,Palaihnihan,USA
