name,latitude,longitude,color
!Xoon [nmn],-24,21.5,#A19A73
/Xam [xam],-30.34,21.82,#A68D69
||Ani [hnh],-19.3,22.5,#5F7B87
||Gana [gnk],-19,22.5,#5E7171
Aari [aiw],6,36.6,#318F90
Abipon [axb],-26,-61,#A84450
Abkhaz [abk],43,41.03,#644590
Abma [app],-15.75,168.083,#A67284
Abui [abz],-8.417,124.6,#B25ED1
Abun [kgr],-0.833,132,#D9CFB0
Acehnese [ace],5.333,96.167,#E39773
Achumawi [acv],41.5,-121,#665173
Adyghe [ady],44.1,39.08,#2447A9
Adynyamathanha [adt],-31,139.5,#42847E
Adzera [azr],-6.417,146.25,#C682AA
Agarabi [agd],-6.25,145.917,#0A50A8
Aghem [agq],6.39,10.12,#C37867
Agta [agt],17.967,121.833,#C28640
Aguaruna [agr],-5.25,-78,#3F4994
Agutaynen [agn],11.15,120.95,#AF5E56
Ai-cham_Diwo [aih],25.8,107,#F7EF9C
Ainu [ain],43.5,142,#905B8E
Aka [hru],27.2,92.9,#3C7CA8
Akan [aka],6.5,-1.25,#C361C2
Akha [ahk],20.3,99.6,#92D0BA
Akkadian [akk],33.1,44,#4D5834
Alabama [akz],32.7,-86.1,#5023B4
Alamblak [amp],-4.667,143.25,#68617B
Albanian Tosk [als],40.5,20,#757A2A
Aleut [ale],54,-166,#194F86
Alune [alp],-3.167,128.333,#D450B9
Alyawarr [aly],-24.6,134.5,#519495
Amarasi [aaz],-10.08,124.33,#D2658B
Ambae_West [omb],-15.5,167.75,#BD6183
Ambai [amk],-1.917,136.733,#D774AC
Ambonese Malay [abs],-3.7,128.2,#D8BD78
Amdo [adx],36,94,#4ABEC7
Amele [aey],-5.25,145.75,#90729F
Amharic [amh],10,38,#415C42
Amis [ami],23.333,121.333,#B77F2A
Amoy [nan],24.5,118,#B3E379
Anejom [aty],-20.25,169.833,#CD5C81
Anem [anz],-5.667,149,#C972A7
Angas [anc],9.75,8.75,#E2919B
