name,latitude,longitude,color
!Xoon [nmn],-24,21.5,#5E5D91
/Xam [xam],-30.34,21.82,#6C6A8F
||Ana [xxx-2],-22.2,22.4,#5D66AE
||Ani [hnh],-19.3,22.5,#5D84A2
||Gana [gnk],-19,22.5,#59809C
||Xekwi [xeg],-23,22,#417E6A
|Gwi [gwj],-22.435,21.654,#5A78A9
A'iwa [ash],-2,-74.5,#864A9B
A'jië [aji],-21.342,165.459,#ABA281
Aari [aiw],6,36.6,#4D6660
Abanyom [abm],6.499,8.647,#959662
Abau [aau],-4,141.167,#986394
Abaza [abq],44.34,41.67,#225079
Abelam [abt-2],-3.83,143.17,#A99185
Abenaki_Western [abe],44,-72.25,#7B748D
Aberdeenshire English [sco-3],57.3,-2,#4E7A51
Abinomn [bsa],-3,138.8,#9F4269
Abipon [axb],-26,-61,#9B788C
Abkhaz [abk],43,41.03,#435679
Abma [app],-15.75,168.083,#9A5D7E
Abua [abn],4.8,6.654167,#649B53
Abui [abz],-8.417,124.6,#90666E
Abun [kgr],-0.833,132,#7C6257
Acatec [agu-2],15.7,-91.617,#745893
Acehnese [ace],5.333,96.167,#5F8851
Achagua [aca],4.002,-72.814,#75536E
Achang_Lianghe [acn ],24.8,98.3,#47C3CF
Achang_Longchuan [can-2],24.25,97.833,#47B1CA
Achang_Luxi [can-3],24.527,103.764,#4AACC1
Aché [guq],-25.25,-55.17,#835277
Achi [acr],15.25,-90.5,#84648F
Achuar [acu],-3,-76,#947A98
Achumawi [acv],41.5,-121,#7C66BA
Acooli [ach],3.293,32.871,#9CA566
Adang [adn],-8.163,124.456,#8D816C
Adangme [ada],5.8,0.33,#598769
Adyghe [ady],44.1,39.08,#336273
Adynyamathanha [adt],-31,139.5,#CBB374
Adzera [azr],-6.417,146.25,#957C77
Aeka [aez],-8.601,147.994,#927882
Afar [aar],12,41,#B76A6A
Afitti [aft],12.44,31,#95A067
Agarabi [agd],-6.25,145.917,#BD679E
Aghem [agq],6.39,10.12,#41B688
Aghu [ahh],-6.333,140,#83718F
Agta [agt],17.967,121.833,#7B9767
Aguaruna [agr],-5.25,-78,#924D99
Aguatec [agu],15.4,-91.4,#734DA6
Agul [agx],41.78,47.59,#2D647B
Agul_Burkixan [agx-2],41.78,47.6,#2F7073
Agul_Burshag [agx-3],41.86,47.62,#396D76
Agul_Fite [agx-4],41.79,47.59,#26746F
Agul_Richa [agx-5],41.78,47.61,#21706B
Agutaynen [agn],11.15,120.95,#A5987B
Agwamin [wmi],-16.986,143.001,#C6A784
Ahi [yix],24.4,103.4,#29AAA9
Ahom [aho],25,95,#61A368
Ahtna [aht],62,-145,#5758B9
Ai-cham_Diwo [aih],25.8,107,#2BA792
Aikaná [tba],-12.1,-60.6,#7F7878
Ainu [ain],43.5,142,#AA5898
Airoran [air],-1.7,138.15,#A9628F
Aisi [mmq],-5.35,145.15,#9E898B
Ait Seghrouchen [tzm-2],33,-5,#5F595B
Aita Rotokas [roo-2],-6,155.08,#B5788D
Aiton [aio-2],24,94,#7CAC7E
Aitutaki [rar-2],-18.872,-159.782,#B7848E
Aiwoo [nfl],-10.5,166.5,#A5868E
Aizi [ahp],5.25,-4.5,#659F67
Aka [hru],27.2,92.9,#349171
Akan [aka],6.5,-1.25,#88597C
Akawaio [ake],6,-59.5,#97608A
Akei [tsr],-15.49,166.75,#B07290
Akha [ahk],20.3,99.6,#6E8571
Akha_Senchai [ahk-2],27,96,#298F90
Akkadian [akk],33.1,44,#805276
Aklanon [akl],11.58,122.33,#959072
Akosse [bss],5,9.7,#807580
Akoye [miw-2],-7.645,145.65,#9862AC
Akuntsu [aqz],-12.74,-60.8,#B882A5
Akurio [ako],3.0132,-55.6434,#B275AC
Akwa [akw],-0.005,15.612,#7B8F79
Alaala [nrz],-9,146.667,#9B9184
